ID;Format;Title;Author_1;Author_2;Author_3;Author_4;Author_5;Author_Count;Journal_Name;Journal_Volume;Journal_Issue;Submission_Protocol;IPA;Data_Collection;Submission_Final;Review_Result;Submission_Revised;Submission_Acceptance;Publication;DOI;RR_Files;Additional_Links;Acceptance_Known;Pub_Year
387978;CR;Attachment styles and secure base priming in relation to emotional reactivity after frustration induction;Karreman, A.;Vingerhoets, A.J.J.M.;Bekker, M.H.J.;;;3;Cognition and Emotion;33;3;;;;23-8-2017;;;24-3-2018;6-4-2018;https://doi.org/10.1080/02699931.2018.1458704;;;TRUE;2018
33852;CR;Pre-verbal infants perceive emotional facial expressions categorically;Cong, Y.Q.;Junge, C.;Aktar, E.;Raijmakers, M.;Franklin, A.;6;Cognition and Emotion;33;3;;;;1-5-2017;;;15-3-2018;2-4-2018;https://doi.org/10.1080/02699931.2018.1455640;;;TRUE;2018
716549;CR;A prologue to nostalgia: savouring creates nostalgic memories that foster optimism;Biskas, M.;Cheung, W.Y.;Juhl, J.;Sedikides, C.;Wildschut, T.;6;Cognition and Emotion;33;3;;;;8-2-2017;;;23-3-2018;2-4-2018;https://doi.org/10.1080/02699931.2018.1458705;;;TRUE;2018
632583;CR;Sex differences in facial emotion perception ability across the lifespan;Olderbak, S.;Wilhelm, O.;Hildebrandt, A.;Quoidbach, J.;;4;Cognition and Emotion;33;3;;;;20-12-2017;;;14-5-2018;22-3-2018;https://doi.org/10.1080/02699931.2018.1454403;;;TRUE;2018
650412;RR;A Multilab Preregistered Replication of the Ego-Depletion Effect;Hagger, M.S.;Chatzisarantis, N.L.D.;;;;2;Perspectives on Psychological Science;11;4;;;;;;;;29-7-2016;https://doi.org/10.1177%2F1745691616652873;https://osf.io/jymhe/;;FALSE;2016
964183;CR;A Stage Model of Stress and Disease;Cohen, S.;Gianaros, P.J.;Manuch, S.B.;;;3;Perspectives on Psychological Science;11;4;;;;;;;;29-7-2016;https://doi.org/10.1177%2F1745691616646305;;;FALSE;2016
305902;CR;Shared-Reality Development in Childhood;Tory Higgins, E.;;;;;1;Perspectives on Psychological Science;11;4;;;;;;;;29-7-2016;https://doi.org/10.1177%2F1745691616635595;;;FALSE;2016
746744;CR;Adaptive Memory: The Evolutionary Significance of Survival Processing;Nairne, J.S.;Pandeirada, J.N.S.;;;;2;Perspectives on Psychological Science;11;4;;;;;;;;29-7-2016;https://doi.org/10.1177%2F1745691616635613;;;FALSE;2016
29430;CR;Working Memory Training Does Not Improve Performance on Measures of Intelligence or Other Measures of ?Far Transfer?: Evidence From a Meta-Analytic Review;Melby-Lervag, M.;Redick, T.S.;Hulme, C.;;;3;Perspectives on Psychological Science;11;4;;;;;;;;29-7-2016;https://doi.org/10.1177%2F1745691616635612;;;FALSE;2016
606805;CR;Changing the Context Is Important and Necessary, but Not Sufficient, for Reducing Adolescent Risky Sexual Behavior: A Reply to Steinberg (2015);Bryan, A.D.;Gillman, A.S.;Hansen, N.S.;;;3;Perspectives on Psychological Science;11;4;;;;;;;;29-7-2016;https://doi.org/10.1177%2F1745691616638093;;;FALSE;2016
298125;CR;What Should Researchers Expect When They Replicate Studies? A Statistical View of Replicability in Psychological Science;Patil, P.;Peng, R.D.;Leek, J.T.;;;3;Perspectives on Psychological Science;11;4;;;;;;;;29-7-2016;https://doi.org/10.1177%2F1745691616646366;;;FALSE;2016
834115;CR;An Overly Permissive Extension;Kagan, J.;;;;;1;Perspectives on Psychological Science;11;4;;;;;;;;29-7-2016;https://doi.org/10.1177%2F1745691616635593;;;FALSE;2016
793018;CR;You?ll Never Guess Who Wrote That: 78 Surprising Authors of Psychological Publications;Lilienfeld, S.O.;Lynn, S.J.;;;;2;Perspectives on Psychological Science;11;4;;;;;;;;29-7-2016;https://doi.org/10.1177%2F1745691616638097;;;FALSE;2016
468185;RR;A Replication Attempt of Stereotype Susceptibility (Shih, Pittinsky, & Ambady, 1999): Identity Salience and Shifts in Quantitative Performance;Gibson, C.E.;Losee, J.;Vitiello, C.;;;3;Social Psychology;45;3;28-2-2013;;;;;;22-1-2014;19-5-2014;https://doi.org/10.1027/1864-9335/a000184;https://osf.io/8q769;;TRUE;2014
560960;RR;Investigating Variation in Replicability: A ?Many Labs? Replication Project;Klein, R.A.;Ratliff, K.A.;Vianello, M.;Adams, R.B.;Bahnik, S.;51;Social Psychology;45;3;4-3-2013;;;;;;26-11-2013;19-5-2014;https://doi.org/10.1027/1864-9335/a000178;https://osf.io/ydpbf;;TRUE;2014
528515;RR;Forming Impressions of Personality: A Replication and Review of Asch?s (1946) Evidence for a Primacy-of-Warmth Effect in Impression Formation;Nauts, S.;Langner, O.;Huijsmans, I.;Vonk, R.;Wigboldus, D.H.J.;5;Social Psychology;45;3;14-2-2013;;;;;;17-11-2013;19-5-2014;https://doi.org/10.1027/1864-9335/a000179;https://osf.io/r6idy/;;TRUE;2014
277721;RR;Revisiting Schachter?s Research on Rejection, Deviance, and Communication (1951);Wesselmann, E.D.;Williams, K.D.;Pryor, J.B.;Eichler, F.A.;Gill, D.M.;6;Social Psychology;45;3;28-2-2013;;;;;;16-11-2013;19-5-2014;https://doi.org/10.1027/1864-9335/a000180;https://osf.io/s92i4/;;TRUE;2014
386066;RR;Revisiting the Romeo and Juliet Effect (Driscoll, Davis, & Lipetz, 1972) Reexamining the Links Between Social Network Opinions and Romantic Relationship Outcomes;Colleen Sinclair, H.;Hood, K.B.;Writght, B.L.;;;3;Social Psychology;45;3;28-2-2013;;;;;;14-1-2014;19-5-2014;https://doi.org/10.1027/1864-9335/a000181;https://osf.io/6wxgf;;TRUE;2014
888486;RR;Breakthrough or One-Hit Wonder? Three Attempts to Replicate Single-Exposure Musical Conditioning Effects on Choice Behavior (Gorn, 1982);Vermeulen, I.;Batenburg, A.;Beukeboom, C.J.;Smits, T.;;4;Social Psychology;45;3;28-2-2013;;;;;;21-12-2013;19-5-2014;https://doi.org/10.1027/1864-9335/a000182;https://osf.io/z6e8j;;TRUE;2014
776234;RR;"What Does It Take to Activate Stereotypes? Simple Primes Dont Seem Enough A Replication of Stereotype Activation (Banaji & Hardin, 1996; Blair & Banaji, 1996)";Mueller, F.;Rothermund, K.;;;;2;Social Psychology;45;3;4-3-2013;;;;;;24-1-2014;19-5-2014;https://doi.org/10.1027/1864-9335/a000183;https://osf.io/tv8ai/;;TRUE;2014
930866;RR;A Secondary Replication Attempt of Stereotype Susceptibility (Shih, Pittinsky, & Ambady, 1999);Moon, A.;Roeder, S.S.;;;;2;Social Psychology;45;3;8-10-2013;;;;;;7-2-2014;19-5-2014;https://doi.org/10.1027/1864-9335/a000193;https://osf.io/b9pkj;;TRUE;2014
841126;RR;Sex Differences in Distress From Infidelity in Early Adulthood and in Later Life A Replication and Meta-Analysis of Shackelford et al. (2004);Ijzerman, H.;Blanken, I.;Brandt, M.J.;Oerlemans, J.M.;van den Hoogenhof, M.M.W.;7;Social Psychology;45;3;28-2-2013;;;;;;17-12-2013;19-5-2014;https://doi.org/10.1027/1864-9335/a000185;https://osf.io/nrbjz/;;TRUE;2014
381431;RR;Does Cleanliness Influence Moral Judgments? A Direct Replication of Schnall, Benton, and Harvey (2008;Johnson, D.J.;Cheung, F.;Brent Donnellan, M.;;;3;Social Psychology;45;3;28-2-2013;;;;;;27-11-2013;19-5-2014;https://doi.org/10.1027/1864-9335/a000186;http://osf.io/zwrxc/;;TRUE;2014
598390;RR;Replication of Experiencing Physical Warmth Promotes Interpersonal Warmth by Williams and Bargh (2008);Lynott, D.;Corker, C.S.;Wortman, J.;Connell, L.;Brent Donnellan, M.;7;Social Psychology;45;3;28-2-2013;;;;;;5-12-2013;19-5-2014;https://doi.org/10.1027/1864-9335/a000187;https://osf.io/gjt37/;;TRUE;2014
271347;RR;Replication of Experiments Evaluating Impact of Psychological Distance on Moral Judgment (Eyal, Liberman & Trope, 2008 Gong & Medin, 2012)fdr;Zezelj, I.L.;Jokic, B.R.;;;;2;Social Psychology;45;3;21-2-2013;;;;;;27-11-2013;19-5-2014;https://doi.org/10.1027/1864-9335/a000188;https://osf.io/Z5TE6/;;TRUE;2014
316833;RR;Three Attempts to Replicate the Moral Licensing Effect;Blanken, I.;van de Ven, N.;Zeelenberg, M.;Meijers, M.H.C.;;4;Social Psychology;45;3;28-2-2013;;;;;;3-12-2013;19-5-2014;https://doi.org/10.1027/1864-9335/a000189;https://osf.io/3cmz4/;;TRUE;2014
170191;RR;Replication of the Superstition and Performance Study by Damisch, Stoberock, and Mussweiler (2010);Calin-Jageman, R.J.;Caldwell, T.L.;;;;2;Social Psychology;45;3;18-2-2013;;;;;;3-12-2013;19-5-2014;https://doi.org/10.1027/1864-9335/a000190;http://osf.io/fsadm/;;TRUE;2014
680212;RR;Does Recalling Moral Behavior Change the Perception of Brightness? A Replication and Meta-Analysis of Banerjee, Chatterjee, and Sinha (2012);Brandt, M.J.;Ijzerman, H.;Blanken, I.;;;3;Social Psychology;45;3;28-2-2013;;;;;;17-12-2013;19-5-2014;https://doi.org/10.1027/1864-9335/a000191;https://osf.io/seqgd;;TRUE;2014
110271;RR;A test of the diffusion model explanation for the worst performance rule using preregistration and blinding;Dutilh, G.;Vandekerckhove, J.;Ly, A.;Matzke, D.;Pedroni, A.;8;Attention, Perception & Psychophysics;79;3;;;;;;;;23-2-2017;https://doi.org/10.3758/s13414-017-1304-y;https://osf.io/qc5dh;;FALSE;2017
32037;CR;The involvement of central attention in visual search is determined by task demands;Han, S.W.;;;;;1;Attention, Perception & Psychophysics;79;3;;;;;;;;23-1-2017;https://doi.org/10.3758/s13414-017-1278-9;;;FALSE;2017
26918;CR;Object detection in natural scenes: Independent effects of spatial and category-based attention;Stein, T.;Peelen, M.V.;;;;2;Attention, Perception & Psychophysics;79;3;;;;;;;;30-1-2017;https://doi.org/10.3758/s13414-017-1279-8;;;FALSE;2017
30858;CR;Spatial attention is necessary for object-based attention: Evidence from temporal-order judgments;Donovan, I.;Pratt, J.;Shomstein, S.;;;3;Attention, Perception & Psychophysics;79;3;;;;;;;;27-12-2016;https://doi.org/10.3758/s13414-016-1265-6;;;FALSE;2016
197937;CR;Object-location binding across a saccade: A retinotopic spatial congruency bias;Shafer, Skelton, A.;Kupitz, C.N.;Golomb, J.D.;;;3;Attention, Perception & Psychophysics;79;3;;;;;;;;9-1-2017;https://doi.org/10.3758/s13414-016-1263-8;;;FALSE;2017
141843;CR;Pupillary correlates of covert shifts of attention during working memory maintenance;Unsworth, N.;Robison, M.K.;;;;2;Attention, Perception & Psychophysics;79;3;;;;;;;;12-1-2017;https://doi.org/10.3758/s13414-016-1272-7;;;FALSE;2017
65513;CR;Effects of a no-go Task 2 on Task 1 performance in dual - tasking: From benefits to costs;Janczyk, M.;Huestegge, L.;;;;2;Attention, Perception & Psychophysics;79;3;;;;;;;;27-12-2016;https://doi.org/10.3758/s13414-016-1257-6;;;FALSE;2016
344322;CR;Intervening response events between identification targets do not always turn repetition benefits into repetition costs;Hilchey, M.D.;Rajsic, J.;Huffman, G.;Pratt, J.;;4;Attention, Perception & Psychophysics;79;3;;;;;;;;6-1-2017;https://doi.org/10.3758/s13414-016-1262-9;;;FALSE;2017
66588;CR;Response readiness modulates the development of association-based automaticity in masked priming;Wang, Y.;Wang, Y.;Liu, P.;Di, M.;Gong, Y.;7;Attention, Perception & Psychophysics;79;3;;;;;;;;11-1-2017;https://doi.org/10.3758/s13414-016-1275-4;;;FALSE;2017
149712;CR;Individual differences in long-range time representation;Agostino, C.S.;Caetano, M.S.;Balci, F.;Claessens, P.M.E.;Zana, Y.;5;Attention, Perception & Psychophysics;79;3;;;;;;;;27-1-2017;https://doi.org/10.3758/s13414-017-1286-9;;;FALSE;2017
972176;CR;Control blindness: Why people can make incorrect inferences about the intentions of others;Willett, A.B.S.;Marken, R.S.;Parker, M.G.;Mansell, W.;;4;Attention, Perception & Psychophysics;79;3;;;;;;;;11-1-2017;https://doi.org/10.3758/s13414-016-1268-3;;;FALSE;2017
72219;CR;Detecting distortions of peripherally presented letter stimuli under crowded conditions;Wallis, T.S.A.;Tobias, S.;Bethge, M.;Wichmann, F.A.;;4;Attention, Perception & Psychophysics;79;3;;;;;;;;4-1-2017;https://doi.org/10.3758/s13414-016-1245-x;;;FALSE;2017
280062;CR;Conscious error perception: The impact of response interference from a secondary task;Robinson, M.M.;Irwin, D.E.;;;;2;Attention, Perception & Psychophysics;79;3;;;;;;;;31-1-2017;https://doi.org/10.3758/s13414-016-1276-3;;;FALSE;2017
758609;CR;Motion direction discrimination training reduces perceived motion repulsion;Jia, K.;Li, S.;;;;2;Attention, Perception & Psychophysics;79;3;;;;;;;;27-12-2016;https://doi.org/10.3758/s13414-016-1261-x;;;FALSE;2016
233940;CR;The reference frame for encoding and retention of motion depends on stimulus set size;Huynh, D.;Tripathy, S.P.;Bedell, H.E.;ogmen, H.;;4;Attention, Perception & Psychophysics;79;3;;;;;;;;13-1-2017;https://doi.org/10.3758/s13414-016-1258-5;;;FALSE;2017
645051;CR;A comparison of colour, shape, and flash induced illusory line motion;Hamm, J.P.;;;;;1;Attention, Perception & Psychophysics;79;3;;;;;;;;4-1-2017;https://doi.org/10.3758/s13414-016-1269-2;;;FALSE;2017
789845;CR;Estimating the relative weights of visual and auditory tau versus heuristic-based cues for time-to-contact judgments in realistic, familiar scenes by older and younger adults;Keshavarz, B.;Campos, J.L.;DeLucia, P.R.;Oberfeld, D.;;4;Attention, Perception & Psychophysics;79;3;;;;;;;;17-1-2017;https://doi.org/10.3758/s13414-016-1270-9;;;FALSE;2017
838216;CR;Cognitive basis of individual differences in speech perception, production and representations: The role of domain general attentional switching;Ou, J.;Law, S.P.;;;;2;Attention, Perception & Psychophysics;79;3;;;;;;;;31-1-2017;https://doi.org/10.3758/s13414-017-1283-z;;;FALSE;2017
